File Version,BWSpec4.11_1
27,   ,   ,   ,1863.0000,65535.0000,1933.0000,-135.5791,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
28,   ,   ,   ,1449.0000,65535.0000,1572.0000,-94.8259,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
29,   ,   ,   ,1525.0000,65535.0000,1635.0000,-120.0913,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
30,   ,   ,   ,1537.0000,65535.0000,1684.0000,-95.3741,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
31,   ,   ,   ,1532.0000,65535.0000,1677.0000,-109.6723,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
32,   ,   ,   ,1624.0000,65535.0000,1812.0000,-78.9833,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
33,   ,   ,   ,1541.0000,65535.0000,1888.0000,67.6964,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
34,   ,   ,   ,1393.0000,65535.0000,1956.0000,271.3705,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
35,   ,   ,   ,1355.0000,65535.0000,2385.0000,726.0428,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
36,   ,   ,   ,1508.0000,65535.0000,2936.0000,1111.7172,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
37,   ,   ,   ,1455.0000,65535.0000,3075.0000,1291.3975,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
38,   ,   ,   ,1573.0000,65535.0000,3468.0000,1554.0874,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
39,   ,   ,   ,1559.0000,65535.0000,3826.0000,1913.7905,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
40,   ,   ,   ,1411.0000,65535.0000,3267.0000,1490.5105,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
41,788.92,12675.57,63.93,1442.0000,65535.0000,2930.0000,1110.2508,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
42,789.07,12673.15,66.36,1516.0000,65535.0000,3203.0000,1297.0148,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
43,789.22,12670.72,68.78,1428.0000,65535.0000,3230.0000,1399.8060,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
44,789.37,12668.29,71.21,1276.0000,65535.0000,3127.0000,1436.6275,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
45,789.52,12665.87,73.64,1368.0000,65535.0000,3245.0000,1450.4826,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
46,789.67,12663.44,76.06,1534.0000,65535.0000,3200.0000,1227.3745,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
47,789.83,12661.02,78.48,1744.0000,65535.0000,3228.0000,1033.3063,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
48,789.98,12658.60,80.91,1537.0000,65535.0000,3177.0000,1177.2809,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
49,790.13,12656.17,83.33,1465.0000,65535.0000,3241.0000,1301.3014,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
50,790.28,12653.75,85.75,1470.0000,65535.0000,2967.0000,1010.3706,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
51,790.43,12651.34,88.17,1408.0000,65535.0000,2948.0000,1041.4913,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
52,790.58,12648.92,90.59,1959.0000,65535.0000,3691.0000,1221.6665,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
53,790.73,12646.50,93.00,1438.0000,65535.0000,3088.0000,1127.8988,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
54,790.88,12644.08,95.42,1542.0000,65535.0000,3006.0000,930.1909,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
55,791.03,12641.67,97.83,1618.0000,65535.0000,2987.0000,823.5454,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
56,791.19,12639.26,100.25,1816.0000,65535.0000,3135.0000,761.9648,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
57,791.34,12636.84,102.66,1549.0000,65535.0000,2890.0000,772.4519,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
58,791.49,12634.43,105.07,1631.0000,65535.0000,3176.0000,965.0089,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
59,791.64,12632.02,107.48,1747.0000,65535.0000,3217.0000,878.6384,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
60,791.79,12629.61,109.89,1511.0000,65535.0000,2743.0000,629.3429,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
61,791.94,12627.20,112.30,1836.0000,65535.0000,3029.0000,579.1246,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
62,792.09,12624.79,114.71,1631.0000,65535.0000,2979.0000,722.9858,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
63,792.24,12622.39,117.11,1246.0000,65535.0000,2566.0000,683.9290,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
64,792.39,12619.98,119.52,1688.0000,65535.0000,2938.0000,602.9564,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
65,792.55,12617.58,121.92,1360.0000,65535.0000,2691.0000,673.0701,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
66,792.70,12615.17,124.33,1495.0000,65535.0000,2761.0000,597.2725,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
67,792.85,12612.77,126.73,1621.0000,65535.0000,2871.0000,570.5657,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
68,793.00,12610.37,129.13,1511.0000,65535.0000,2769.0000,567.9518,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
69,793.15,12607.97,131.53,1372.0000,65535.0000,2553.0000,480.4329,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
70,793.30,12605.57,133.93,1482.0000,65535.0000,2590.0000,397.0111,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
71,793.45,12603.17,136.33,1490.0000,65535.0000,2718.0000,506.6885,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
72,793.60,12600.78,138.73,1297.0000,65535.0000,2574.0000,545.4672,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
73,793.75,12598.38,141.12,1407.0000,65535.0000,2565.0000,416.3491,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
74,793.90,12595.99,143.52,1428.0000,65535.0000,2545.0000,365.3362,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
75,794.05,12593.59,145.91,1560.0000,65535.0000,2682.0000,360.4305,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
76,794.21,12591.20,148.30,1252.0000,65535.0000,2399.0000,375.6340,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
77,794.36,12588.81,150.70,1610.0000,65535.0000,2820.0000,428.9485,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
