File Version,BWSpec4.11_1
28,   ,   ,   ,0.0000,65535.0000,1505.0000,-333.5971,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
29,   ,   ,   ,0.0000,65535.0000,1521.0000,-338.1372,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
30,   ,   ,   ,0.0000,65535.0000,1682.0000,-197.7276,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
31,   ,   ,   ,0.0000,65535.0000,1681.0000,-219.3636,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
32,   ,   ,   ,0.0000,65535.0000,1904.0000,-17.0398,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
33,   ,   ,   ,0.0000,65535.0000,2218.0000,276.2512,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
34,   ,   ,   ,0.0000,65535.0000,2694.0000,731.5165,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
35,   ,   ,   ,0.0000,65535.0000,3738.0000,1754.7632,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
36,   ,   ,   ,0.0000,65535.0000,4810.0000,2805.9986,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
37,   ,   ,   ,0.0000,65535.0000,5356.0000,3331.2298,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
38,   ,   ,   ,0.0000,65535.0000,6422.0000,4376.4636,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
39,   ,   ,   ,0.0000,65535.0000,7386.0000,5319.7069,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
40,   ,   ,   ,0.0000,65535.0000,6072.0000,3984.9662,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
41,788.92,12675.57,63.93,0.0000,65535.0000,4994.0000,2886.2478,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
42,789.07,12673.15,66.36,0.0000,65535.0000,5481.0000,3352.5577,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
43,789.22,12670.72,68.78,0.0000,65535.0000,5875.0000,3725.9020,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
44,789.37,12668.29,71.21,0.0000,65535.0000,6016.0000,3846.2864,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
45,789.52,12665.87,73.64,0.0000,65535.0000,6130.0000,3939.7164,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
46,789.67,12663.44,76.06,0.0000,65535.0000,5784.0000,3573.1976,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
47,789.83,12661.02,78.48,0.0000,65535.0000,5372.0000,3140.7350,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
48,789.98,12658.60,80.91,0.0000,65535.0000,5563.0000,3311.3337,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
49,790.13,12656.17,83.33,0.0000,65535.0000,5805.0000,3532.9986,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
50,790.28,12653.75,85.75,0.0000,65535.0000,5013.0000,2720.7344,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
51,790.43,12651.34,88.17,0.0000,65535.0000,4986.0000,2673.5456,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
52,790.58,12648.92,90.59,0.0000,65535.0000,6183.0000,3850.4365,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
53,790.73,12646.50,93.00,0.0000,65535.0000,5496.0000,3143.4115,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
54,790.88,12644.08,95.42,0.0000,65535.0000,5044.0000,2671.4745,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
55,791.03,12641.67,97.83,0.0000,65535.0000,4814.0000,2421.6296,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
56,791.19,12639.26,100.25,0.0000,65535.0000,5063.0000,2650.8804,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
57,791.34,12636.84,102.66,0.0000,65535.0000,4880.0000,2448.2306,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
58,791.49,12634.43,105.07,0.0000,65535.0000,5423.0000,2971.6838,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
59,791.64,12632.02,107.48,0.0000,65535.0000,5410.0000,2939.2433,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
60,791.79,12629.61,109.89,0.0000,65535.0000,4353.0000,1862.9123,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
61,791.94,12627.20,112.30,0.0000,65535.0000,4534.0000,2024.6940,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
62,792.09,12624.79,114.71,0.0000,65535.0000,4645.0000,2116.5914,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
63,792.24,12622.39,117.11,0.0000,65535.0000,4261.0000,1713.6074,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
64,792.39,12619.98,119.52,0.0000,65535.0000,4507.0000,1940.7447,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
65,792.55,12617.58,121.92,0.0000,65535.0000,4399.0000,1814.0061,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
66,792.70,12615.17,124.33,0.0000,65535.0000,4356.0000,1752.3942,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
67,792.85,12612.77,126.73,0.0000,65535.0000,4294.0000,1671.9115,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
68,793.00,12610.37,129.13,0.0000,65535.0000,4163.0000,1522.5605,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
69,793.15,12607.97,131.53,0.0000,65535.0000,3936.0000,1277.3434,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
70,793.30,12605.57,133.93,0.0000,65535.0000,3873.0000,1196.2627,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
71,793.45,12603.17,136.33,0.0000,65535.0000,4066.0000,1371.3205,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
72,793.60,12600.78,138.73,0.0000,65535.0000,4071.0000,1358.5189,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
73,793.75,12598.38,141.12,0.0000,65535.0000,3863.0000,1132.8600,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
74,793.90,12595.99,143.52,0.0000,65535.0000,3721.0000,973.3460,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
75,794.05,12593.59,145.91,0.0000,65535.0000,3840.0000,1074.9786,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
76,794.21,12591.20,148.30,0.0000,65535.0000,3545.0000,762.7598,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
77,794.36,12588.81,150.70,0.0000,65535.0000,3973.0000,1173.6916,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
78,794.51,12586.42,153.09,0.0000,65535.0000,3961.0000,1144.7756,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
79,794.66,12584.03,155.48,0.0000,65535.0000,3965.0000,1132.0137,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
80,794.81,12581.64,157.87,0.0000,65535.0000,3700.0000,850.4076,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
81,794.96,12579.25,160.25,0.0000,65535.0000,3756.0000,889.9588,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
